F_time,F_distance,F_load,F_quality,F_Reward,S_Reward,Algorithm
1.0,0.4081632653061226,inf,0.16666666666666666,0.3520408163265306,-2.135252734510299,Random
1.0,0.41095890410958896,inf,0.2,0.37273972602739724,1.3716183710950887,Random
1.0,0.4081632653061223,inf,0.16666666666666666,0.35204081632653056,-5.024358696099073,Random
1.0,0.40955631399317427,inf,0.23333333333333334,0.3923890784982935,9.217706931991875,Random
1.0,0.40955631399317394,inf,0.16666666666666666,0.3523890784982935,-7.130639472965887,Random
1.0,0.40677966101694923,inf,0.16666666666666666,0.3516949152542373,-9.029946834658732,Random
1.0,0.41237113402061837,inf,0.23333333333333334,0.39309278350515453,13.51242653608913,Random
1.0,0.41095890410958913,inf,0.23333333333333334,0.39273972602739726,4.709452667663053,Random
1.0,0.4095563139931742,inf,0.2,0.3723890784982935,4.254029871821581,Random
1.0,0.41095890410958896,inf,0.23333333333333334,0.39273972602739726,2.4976345554258206,Random
1.0,0.4081632653061223,inf,0.16666666666666666,0.35204081632653056,-6.105774526515466,Random
1.0,0.4054054054054054,inf,0.06666666666666667,0.2913513513513514,-18.155443215381865,Random
1.0,0.40540540540540543,inf,0.13333333333333333,0.33135135135135135,-15.445316519658919,Random
1.0,0.4081632653061227,inf,0.2,0.37204081632653063,-7.651377594217264,Random
1.0,0.40955631399317405,inf,0.2,0.3723890784982935,1.4457522845981021,Random
1.0,0.4095563139931741,inf,0.2,0.3723890784982935,-0.6184297845862048,Random
1.0,0.40677966101694885,inf,0.1,0.3116949152542372,-9.00406376504945,Random
1.0,0.4067796610169492,inf,0.16666666666666666,0.35169491525423724,-8.084576263838066,Random
1.0,0.40955631399317394,inf,0.2,0.3723890784982935,7.567863583447856,Random
1.0,0.40677966101694907,inf,0.1,0.31169491525423726,-6.74622992454848,Random
1.0,0.409556313993174,inf,0.2,0.3723890784982935,1.7932591515500675,Random
1.0,0.409556313993174,inf,0.2,0.3723890784982935,3.354470260164679,Random
1.0,0.4095563139931741,inf,0.23333333333333334,0.3923890784982935,-2.5381693137661436,Random
1.0,0.410958904109589,inf,0.16666666666666666,0.3527397260273972,3.9461943039141394,Random
1.0,0.40540540540540543,inf,0.13333333333333333,0.33135135135135135,-11.451037332945662,Random
1.0,0.4067796610169491,inf,0.13333333333333333,0.3316949152542373,-7.364810166500762,Random
1.0,0.40816326530612235,inf,0.2,0.3720408163265306,0.09833105728645464,Random
1.0,0.41379310344827597,inf,0.23333333333333334,0.393448275862069,20.479655652310917,Random
