case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,n_Tasks,n_Agents,caseData
10,TBTA,68.62384155141518,0.001960384368896484,15.0,0.8423021052062825,15,10,"{'case': 13, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 13}"
10,Random,50.83472796436692,2.4993717670440672e-06,16.0,0.716852850322551,16,10,"{'case': 14, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 14}"
10,Swarm-GAP,73.87514831617636,0.00013813589748583343,17.5,0.8672309626014082,16,10,"{'case': 14, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 14}"
10,CBBA,90.21989712438467,0.03114972114562988,1.0,0.916426528716365,16,10,"{'case': 14, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 14}"
10,TBTA,73.11798130849239,0.0015947505831718444,16.0,0.8340509595281563,16,10,"{'case': 14, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 14}"
10,Random,51.699543991787124,1.1758243336397059e-06,17.0,0.6801917429965121,17,10,"{'case': 15, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 14}"
10,Swarm-GAP,82.52152602231028,0.00010272341320758265,18.76,0.8933857927903407,17,10,"{'case': 15, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 14}"
10,CBBA,96.97826829121686,0.034999349117279054,1.0,0.9332623849208648,17,10,"{'case': 15, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 14}"
10,TBTA,83.2947144722396,0.00152681687298943,17.0,0.8977476935037229,17,10,"{'case': 15, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 14}"
10,Random,55.708962237592424,2.221001519097222e-06,18.0,0.6868804349965915,18,10,"{'case': 16, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 15}"
10,Swarm-GAP,86.56475596543012,0.0001081964307361179,18.96,0.8865568765030055,18,10,"{'case': 16, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 15}"
10,CBBA,100.15143085848436,0.0393088698387146,1.0,0.9084557437210716,18,10,"{'case': 16, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 15}"
10,TBTA,88.76887510375379,0.001869916518529256,18.0,0.9287558902576043,18,10,"{'case': 16, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 15}"
10,Random,59.691766199062556,5.263403842323704e-06,19.0,0.6970194132031157,19,10,"{'case': 17, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 16}"
10,Swarm-GAP,88.51023111431972,0.00010918417102412173,19.52,0.8469431298610129,19,10,"{'case': 17, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 16}"
10,CBBA,102.88379884094422,0.04833906173706055,1.0,0.8955436300478397,19,10,"{'case': 17, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 16}"
10,TBTA,93.72695404388891,0.001683090360541093,19.0,0.947620322546532,19,10,"{'case': 17, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 16}"
10,Random,63.505465179386746,4.5044422149658205e-06,20.0,0.7081789789363693,20,10,"{'case': 18, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 17}"
10,Swarm-GAP,90.59134370321753,0.00011086408297220865,20.29,0.8537455543104485,20,10,"{'case': 18, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 17}"
10,CBBA,106.17880122833168,0.05395925283432007,1.0,0.871000523935434,20,10,"{'case': 18, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 17}"
10,TBTA,94.77917346453458,0.001673475742340088,20.0,0.9515746795430191,20,10,"{'case': 18, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 17}"
10,Random,69.1658322223995,2.3797580174037392e-06,21.0,0.716455291747326,21,10,"{'case': 19, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 18}"
10,Swarm-GAP,91.4617072783031,0.00011147913344045963,21.19,0.839738040466632,21,10,"{'case': 19, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 18}"
10,CBBA,108.15284002479066,0.05729898691177368,1.0,0.8492788463559185,21,10,"{'case': 19, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 18}"
10,TBTA,95.68160492899065,0.0014746847606840587,21.0,0.9591442831117948,21,10,"{'case': 19, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 18}"
