
Best Saved


Epoch #38:  80%|########  | 4800/6000 [00:05<00:01, 865.42it/s, agent0/loss=7.766, env_step=226800, gradient_step=3780, len=6, n/ep=100, n/st=600, rew=2.15]
Epoch #38: 6001it [00:07, 835.79it/s, agent0/loss=7.525, env_step=228000, gradient_step=3800, len=6, n/ep=100, n/st=600, rew=2.26]


Epoch #39: 6001it [00:06, 859.07it/s, agent0/loss=7.570, env_step=234000, gradient_step=3900, len=6, n/ep=100, n/st=600, rew=2.23]
Epoch #40:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #40:  80%|########  | 4800/6000 [00:05<00:01, 825.64it/s, agent0/loss=7.638, env_step=238800, gradient_step=3980, len=6, n/ep=100, n/st=600, rew=2.54]
Epoch #40: 6001it [00:07, 811.41it/s, agent0/loss=7.620, env_step=240000, gradient_step=4000, len=6, n/ep=100, n/st=600, rew=1.96]



Epoch #41:  80%|########  | 4800/6000 [00:06<00:01, 775.21it/s, agent0/loss=7.383, env_step=244800, gradient_step=4080, len=6, n/ep=100, n/st=600, rew=2.36]
Epoch #41: 6001it [00:07, 789.36it/s, agent0/loss=7.385, env_step=246000, gradient_step=4100, len=6, n/ep=100, n/st=600, rew=2.25]



Epoch #42: 100%|##########| 6000/6000 [00:06<00:00, 797.02it/s, agent0/loss=7.606, env_step=251400, gradient_step=4190, len=6, n/ep=100, n/st=600, rew=2.01]
Epoch #42: 6001it [00:07, 842.95it/s, agent0/loss=7.542, env_step=252000, gradient_step=4200, len=6, n/ep=100, n/st=600, rew=2.44]


Epoch #43: 6001it [00:07, 800.81it/s, agent0/loss=7.369, env_step=258000, gradient_step=4300, len=6, n/ep=100, n/st=600, rew=2.25]
Epoch #44:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #44:  90%|######### | 5400/6000 [00:06<00:00, 870.81it/s, agent0/loss=7.595, env_step=263400, gradient_step=4390, len=6, n/ep=100, n/st=600, rew=2.19]
Epoch #44: 6001it [00:07, 852.68it/s, agent0/loss=7.544, env_step=264000, gradient_step=4400, len=6, n/ep=100, n/st=600, rew=2.71]


Epoch #45: 6001it [00:07, 826.00it/s, agent0/loss=7.428, env_step=270000, gradient_step=4500, len=6, n/ep=100, n/st=600, rew=2.17]
Epoch #46:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #46:  70%|#######   | 4200/6000 [00:05<00:02, 852.63it/s, agent0/loss=7.374, env_step=274200, gradient_step=4570, len=6, n/ep=100, n/st=600, rew=2.31]
Epoch #46: 6001it [00:07, 805.02it/s, agent0/loss=7.195, env_step=276000, gradient_step=4600, len=6, n/ep=100, n/st=600, rew=2.52]



Epoch #47:  80%|########  | 4800/6000 [00:05<00:01, 804.09it/s, agent0/loss=7.240, env_step=280800, gradient_step=4680, len=6, n/ep=100, n/st=600, rew=2.69]
Epoch #47: 6001it [00:07, 791.23it/s, agent0/loss=7.246, env_step=282000, gradient_step=4700, len=6, n/ep=100, n/st=600, rew=2.53]



