
Best Saved













Epoch #30:  95%|#########5| 22800/24000 [00:25<00:01, 900.11it/s, agent0/loss=2.328, env_step=718800, gradient_step=11980, len=24, n/ep=25, n/st=600, rew=1.68]
Epoch #30: 24001it [00:27, 879.21it/s, agent0/loss=2.442, env_step=720000, gradient_step=12000, len=24, n/ep=25, n/st=600, rew=0.24]













Epoch #31: 24001it [00:28, 844.61it/s, agent0/loss=2.304, env_step=744000, gradient_step=12400, len=24, n/ep=25, n/st=600, rew=0.44]
Epoch #32:   0%|          | 0/24000 [00:00<?, ?it/s]













Epoch #32: 24001it [00:27, 861.47it/s, agent0/loss=1.972, env_step=768000, gradient_step=12800, len=24, n/ep=25, n/st=600, rew=0.68]
Epoch #33:   0%|          | 0/24000 [00:00<?, ?it/s]













Epoch #33: 24001it [00:27, 861.39it/s, agent0/loss=2.387, env_step=792000, gradient_step=13200, len=24, n/ep=24, n/st=600, rew=0.83]
Epoch #34:   0%|          | 0/24000 [00:00<?, ?it/s]













Epoch #34:  98%|#########7| 23400/24000 [00:26<00:00, 892.28it/s, agent0/loss=2.175, env_step=815400, gradient_step=13590, len=24, n/ep=26, n/st=600, rew=0.85]
Epoch #34: 24001it [00:27, 883.73it/s, agent0/loss=2.189, env_step=816000, gradient_step=13600, len=24, n/ep=24, n/st=600, rew=0.33]













Epoch #35: 100%|##########| 24000/24000 [00:27<00:00, 862.36it/s, agent0/loss=2.146, env_step=839400, gradient_step=13990, len=24, n/ep=26, n/st=600, rew=0.88]
Epoch #35: 24001it [00:27, 875.61it/s, agent0/loss=2.090, env_step=840000, gradient_step=14000, len=24, n/ep=24, n/st=600, rew=0.96]












Epoch #36: 24001it [00:27, 878.20it/s, agent0/loss=1.886, env_step=864000, gradient_step=14400, len=24, n/ep=24, n/st=600, rew=0.67]
Epoch #37:   2%|2         | 600/24000 [00:00<00:17, 1308.69it/s]













Epoch #37: 24001it [00:26, 905.27it/s, agent0/loss=2.010, env_step=888000, gradient_step=14800, len=24, n/ep=24, n/st=600, rew=2.92]
Epoch #37: test_reward: 0.000000 ± 0.000000, best_reward: 0.000000 ± 0.000000 in #0












Epoch #38: 24001it [00:27, 888.91it/s, agent0/loss=1.920, env_step=912000, gradient_step=15200, len=24, n/ep=24, n/st=600, rew=0.92]
Epoch #39:   2%|2         | 600/24000 [00:00<00:20, 1127.10it/s, agent0/loss=1.999, env_step=912600, gradient_step=15210, len=24, n/ep=26, n/st=600, rew=0.54]













Epoch #39:  98%|#########7| 23400/24000 [00:26<00:00, 866.82it/s, agent0/loss=2.056, env_step=934800, gradient_step=15580, len=24, n/ep=24, n/st=600, rew=0.79]
Epoch #39: 24001it [00:27, 864.42it/s, agent0/loss=2.164, env_step=936000, gradient_step=15600, len=24, n/ep=24, n/st=600, rew=1.50]













Epoch #40:  98%|#########7| 23400/24000 [00:26<00:00, 822.88it/s, agent0/loss=2.263, env_step=958800, gradient_step=15980, len=24, n/ep=24, n/st=600, rew=0.25]
